[17-Sep-2025 12:26:02 UTC] PHP Parse error:  syntax error, unexpected token ")" in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\index.php on line 3
[01-Oct-2025 16:13:21 UTC] PHP Parse error:  Unclosed '{' on line 4 does not match ')' in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 5
[01-Oct-2025 16:13:21 UTC] PHP Parse error:  Unclosed '{' on line 4 does not match ')' in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 5
[01-Oct-2025 18:42:45 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 14
[01-Oct-2025 18:42:45 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 367
[01-Oct-2025 18:42:45 UTC] PHP Warning:  Trying to access array offset on value of type bool in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-includes\class-wp-recovery-mode-email-service.php on line 368
[01-Oct-2025 18:44:13 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 14
[01-Oct-2025 18:44:13 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 14
[01-Oct-2025 18:44:46 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\functions.php on line 14
[02-Oct-2025 15:40:10 UTC] PHP Warning:  Undefined variable $theParent in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\page.php on line 22
[02-Oct-2025 15:40:11 UTC] PHP Warning:  Undefined variable $theParent in C:\Users\Huertas Family\Local Sites\fictional-university\app\public\wp-content\themes\fictional-university-theme\page.php on line 22
